time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1720064696.05627847,0.01479938,0.01034646,-nan,4241.00000000,0.01479938,0.000000,0.000000
1720064696.15611839,0.01630918,0.01488515,-nan,8212.00000000,0.01781898,0.000000,0.000000
1720064696.25595236,0.01367016,0.00698133,-nan,7132.00000000,0.00839212,0.000000,0.000000
1720064696.35579944,0.01304256,0.00854671,-nan,7197.00000000,0.01115974,0.000000,0.000000
1720064696.45643616,0.01271199,0.00913294,-nan,7441.00000000,0.01138970,0.000000,0.000000
1720064696.55627275,0.01510132,0.00563960,0.00000354,7710.00000000,0.02704797,0.000000,0.000000
1720064696.65609813,0.01676963,0.00603494,0.00000366,7998.00000000,0.02677954,0.000000,0.000000
1720064696.75594330,0.01791149,0.00443399,0.00000356,8152.00000000,0.02590452,0.000000,0.000000
1720064696.85577416,0.01863885,0.00463766,0.00000327,8438.00000000,0.02445768,0.000000,0.000000
1720064696.95641685,0.01897901,0.00572831,0.00000296,8431.00000000,0.02204051,0.000000,0.000000
1720064697.05625296,0.01959934,0.00513738,0.00000363,8393.00000000,0.02580259,0.000000,0.000000
1720064697.15608740,0.01984364,0.00403364,0.00000310,8684.00000000,0.02253097,0.000000,0.000000
1720064697.25591421,0.02009513,0.00528662,0.00000326,8849.00000000,0.02311298,0.000000,0.000000
1720064697.35575151,0.02032458,0.00413648,0.00000316,8829.00000000,0.02330747,0.000000,0.000000
1720064697.45638752,0.02058784,0.00421180,0.00000297,8998.00000000,0.02427350,0.000000,0.000000
1720064697.55620432,0.02080168,0.00406402,0.00000295,8996.00000000,0.02400926,0.000000,0.000000
1720064697.65603757,0.02099181,0.00369041,0.00000326,9178.00000000,0.02403395,0.000000,0.000000
1720064697.75587320,0.02117371,0.00488037,0.00000338,9365.00000000,0.02426600,0.000000,0.000000
1720064697.85612226,0.02132217,0.00379245,0.00000359,9367.00000000,0.02399444,0.000000,0.000000
1720064697.95595717,0.02154508,0.00412463,0.00000341,9347.00000000,0.02578030,0.000000,0.000000
1720064698.05577636,0.02169469,0.00392360,0.00000364,9335.00000000,0.02468690,0.000000,0.000000
1720064698.15640736,0.02173505,0.00391199,0.00000333,9312.00000000,0.02258253,0.000000,0.000000
1720064698.25624585,0.02200182,0.00612990,0.00000369,9355.00000000,0.02787076,0.000000,0.000000
1720064698.35608196,0.02202732,0.00376683,0.00000297,9389.00000000,0.02261380,0.000000,0.000000
1720064698.45591855,0.02213552,0.00450665,0.00000358,9410.00000000,0.02473252,0.000000,0.000000
1720064698.55576015,0.02222131,0.00424296,0.00000368,9389.00000000,0.02436586,0.000000,0.000000
1720064698.65639710,0.02223290,0.00426645,0.00000319,9427.00000000,0.02253443,0.000000,0.000000
1720064698.75624824,0.02238968,0.00430290,0.00000339,9490.00000000,0.02662269,0.000000,0.000000
1720064698.85608864,0.02265718,0.00950817,0.00000367,9410.00000000,0.03014719,0.000000,0.000000
1720064698.95592761,0.02276116,0.00518996,0.00000332,9360.00000000,0.02577660,0.000000,0.000000
1720064699.05578113,0.02279712,0.00442031,0.00000339,9385.00000000,0.02387588,0.000000,0.000000
1720064699.15642977,0.02280195,0.00435568,0.00000296,9441.00000000,0.02295156,0.000000,0.000000
1720064699.25627160,0.02277410,0.00345245,0.00000308,9480.00000000,0.02188307,0.000000,0.000000
1720064699.35610723,0.02282108,0.00350357,0.00000322,9503.00000000,0.02437131,0.000000,0.000000
1720064699.45595241,0.02286235,0.00369541,0.00000304,9470.00000000,0.02426560,0.000000,0.000000
1720064699.55578279,0.02297259,0.00571733,0.00000357,9473.00000000,0.02683088,0.000000,0.000000
1720064699.65641022,0.02294243,0.00337983,0.00000288,9532.00000000,0.02185669,0.000000,0.000000
1720064699.75624990,0.02294477,0.00344128,0.00000331,9629.00000000,0.02303149,0.000000,0.000000
1720064699.85610867,0.02297451,0.00345803,0.00000334,9718.00000000,0.02410461,0.000000,0.000000
1720064699.95594454,0.02294337,0.00419791,0.00000287,9743.00000000,0.02172899,0.000000,0.000000
1720064700.05576754,0.02299897,0.00344096,0.00000387,9618.00000000,0.02522289,0.000000,0.000000
1720064700.15639853,0.02310199,0.00402137,0.00000354,9648.00000000,0.02732583,0.000000,0.000000
1720064700.25623322,0.02308534,0.00341108,0.00000327,9710.00000000,0.02238607,0.000000,0.000000
1720064700.35605264,0.02308245,0.00362021,0.00000327,9751.00000000,0.02295787,0.000000,0.000000
1720064700.45588470,0.02308082,0.00358399,0.00000312,9781.00000000,0.02300906,0.000000,0.000000
1720064700.55612993,0.02309959,0.00433005,0.00000341,9767.00000000,0.02394461,0.000000,0.000000
1720064700.65597916,0.02309432,0.00425621,0.00000301,9756.00000000,0.02285177,0.000000,0.000000
1720064700.75580668,0.02312467,0.00378850,0.00000347,9812.00000000,0.02455093,0.000000,0.000000
1720064700.85644937,0.02314306,0.00531312,0.00000310,9862.00000000,0.02402581,0.000000,0.000000
1720064700.95628357,0.02314393,0.00352431,0.00000336,9753.00000000,0.02318690,0.000000,0.000000
1720064701.05613756,0.02315071,0.00343676,0.00000339,9799.00000000,0.02348972,0.000000,0.000000
1720064701.15597558,0.02315549,0.00336816,0.00000345,9828.00000000,0.02339919,0.000000,0.000000
1720064701.25581455,0.02315061,0.00349461,0.00000344,9845.00000000,0.02289672,0.000000,0.000000
1720064701.35606456,0.02323315,0.00521001,0.00000362,9872.00000000,0.02760777,0.000000,0.000000
1720064701.45590305,0.02321463,0.00412668,0.00000299,9859.00000000,0.02221430,0.000000,0.000000
1720064701.55574012,0.02320603,0.00365262,0.00000314,9792.00000000,0.02273333,0.000000,0.000000
1720064701.65639687,0.02318327,0.00329687,0.00000293,9886.00000000,0.02190866,0.000000,0.000000
1720064701.75623584,0.02318152,0.00328105,0.00000318,9941.00000000,0.02308193,0.000000,0.000000
1720064701.85606742,0.02320197,0.00431594,0.00000331,9922.00000000,0.02438781,0.000000,0.000000
1720064701.95589042,0.02328050,0.00489453,0.00000324,9958.00000000,0.02791416,0.000000,0.000000
1720064702.05612922,0.02328603,0.00395328,0.00000332,9989.00000000,0.02361776,0.000000,0.000000
1720064702.15597177,0.02331966,0.00430262,0.00000356,10037.00000000,0.02537098,0.000000,0.000000
1720064702.25581288,0.02329814,0.00409466,0.00000317,10031.00000000,0.02196368,0.000000,0.000000
1720064702.35607100,0.02328760,0.00455035,0.00000308,10051.00000000,0.02262401,0.000000,0.000000
1720064702.45589924,0.02328711,0.00445621,0.00000345,10128.00000000,0.02325554,0.000000,0.000000
1720064702.55613256,0.02330319,0.00338710,0.00000323,10004.00000000,0.02434813,0.000000,0.000000
1720064702.65597892,0.02327565,0.00348143,0.00000298,10057.00000000,0.02145843,0.000000,0.000000
1720064702.75581717,0.02325087,0.00389761,0.00000297,10089.00000000,0.02159016,0.000000,0.000000
1720064702.85606575,0.02321356,0.00324103,0.00000307,9967.00000000,0.02067672,0.000000,0.000000
1720064702.95590925,0.02320963,0.00326749,0.00000304,10022.00000000,0.02293865,0.000000,0.000000
1720064703.05574274,0.02320321,0.00395373,0.00000301,10094.00000000,0.02275390,0.000000,0.000000
1720064703.15639257,0.02317865,0.00410166,0.00000309,10133.00000000,0.02143441,0.000000,0.000000
1720064703.25622034,0.02317636,0.00442925,0.00000315,10148.00000000,0.02301139,0.000000,0.000000
1720064703.35606098,0.02320603,0.00485639,0.00000368,10156.00000000,0.02537244,0.000000,0.000000
1720064703.45590258,0.02322638,0.00416352,0.00000355,10184.00000000,0.02473171,0.000000,0.000000
1720064703.55574012,0.02323254,0.00414104,0.00000332,10191.00000000,0.02369509,0.000000,0.000000
1720064703.65636992,0.02320015,0.00314445,0.00000297,10155.00000000,0.02073816,0.000000,0.000000
1720064703.75621200,0.02324042,0.00335840,0.00000329,10195.00000000,0.02634120,0.000000,0.000000
